task,participant_id,acc_ppc_mean,acc_ppc_median,acc_ppc_lo10,acc_ppc_hi90
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_10h50.23.175.csv,0.60374375,0.6,0.5,0.7
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_13h57.27.412.csv,0.58351875,0.575,0.475,0.675
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_13h57.36.663.csv,0.543125,0.55,0.45,0.65
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_13h57.48.381.csv,0.8426375,0.85,0.75,0.925
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_13h57.55.659.csv,0.517075,0.525,0.425,0.625
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_14h35.13.740.csv,0.59141875,0.6,0.475,0.675
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_14h35.50.272.csv,0.514475,0.525,0.425,0.625
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_14h35.55.754.csv,0.50731875,0.5,0.4,0.6
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_15h13.22.716.csv,0.569825,0.575,0.475,0.675
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_15h54.47.201.csv,0.66405,0.675,0.575,0.75
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_15h54.53.378.csv,0.58375,0.575,0.475,0.675
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_15h55.00.190.csv,0.5023875,0.5,0.4,0.6
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_15h55.08.707.csv,0.50315,0.5,0.4,0.6
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_16h35.37.508.csv,0.548775,0.55,0.45,0.65
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_16h36.05.342.csv,0.49725625,0.5,0.4,0.6
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_16h37.02.72.csv,0.5123875,0.525,0.425,0.6
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_17h18.18.20.csv,0.5199875,0.525,0.425,0.625
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_09h46.35.938.csv,0.5569875,0.55,0.45,0.65
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_10h17.44.482.csv,0.51369375,0.525,0.425,0.6
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_10h18.33.907.csv,0.50830625,0.5,0.4,0.6
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_10h34.27.259.csv,0.49067500000000003,0.5,0.4,0.6
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_11h42.55.429.csv,0.59938125,0.6,0.5,0.7
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_11h44.40.392.csv,0.51859375,0.525,0.425,0.625
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_11h48.02.587.csv,0.55130625,0.55,0.45,0.65
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_12h23.53.752.csv,0.57134375,0.575,0.475,0.675
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_12h24.02.619.csv,0.56996875,0.575,0.475,0.675
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_12h24.58.522.csv,0.4989125,0.5,0.4,0.6
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_13h14.38.296.csv,0.816075,0.825,0.725,0.9
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_13h14.43.724.csv,0.54304375,0.55,0.45,0.65
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_13h16.18.617.csv,0.62256875,0.625,0.525,0.725
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_13h51.56.59.csv,0.5216875,0.525,0.425,0.625
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_13h56.52.788.csv,0.6179125,0.625,0.5,0.725
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_15h23.23.995.csv,0.6124875,0.625,0.5,0.7
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_15h23.31.848.csv,0.5534250000000001,0.55,0.45,0.65
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_15h23.39.464.csv,0.54259375,0.55,0.45,0.65
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_16h35.04.300.csv,0.53775625,0.55,0.425,0.65
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_16h39.13.99.csv,0.75426875,0.75,0.65,0.85
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-28_10h24.57.802.csv,0.52223125,0.525,0.425,0.625
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-28_10h25.01.906.csv,0.50728125,0.5,0.4,0.6
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-28_10h25.48.286.csv,0.63949375,0.65,0.525,0.75
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-28_10h26.14.343.csv,0.653175,0.65,0.55,0.75
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-28_10h27.00.499.csv,0.58155625,0.575,0.475,0.675
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-28_13h14.34.965.csv,0.5050375,0.5,0.4,0.6
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-28_13h27.58.986.csv,0.53505,0.525,0.425,0.625
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-28_13h54.32.569.csv,0.493675,0.5,0.4,0.6
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-28_13h54.59.786.csv,0.54433125,0.55,0.45,0.65
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-28_15h13.11.612.csv,0.52538125,0.525,0.425,0.625
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-28_15h27.22.142.csv,0.552175,0.55,0.45,0.65
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-28_15h50.44.307.csv,0.51649375,0.525,0.425,0.625
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-28_16h07.06.683.csv,0.5092375,0.5,0.4,0.6
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-12-01_10h13.21.731.csv,0.63376875,0.625,0.525,0.725
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-12-01_10h13.27.260.csv,0.50164375,0.5,0.4,0.6
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-12-01_10h46.04.96.csv,0.5119625,0.525,0.4,0.625
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-12-01_13h54.35.383.csv,0.494275,0.5,0.4,0.6
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-12-01_14h36.35.682.csv,0.5722875,0.575,0.475,0.675
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-12-01_14h36.55.458.csv,0.58371875,0.575,0.475,0.675
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-12-01_14h37.00.325.csv,0.517875,0.525,0.425,0.625
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-12-01_14h37.04.211.csv,0.50894375,0.5,0.4,0.6
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-12-01_14h52.03.786.csv,0.62359375,0.625,0.525,0.725
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-12-01_15h10.02.548.csv,0.50181875,0.5,0.4,0.6
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-12-01_15h10.12.614.csv,0.61111875,0.625,0.5,0.725
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-12-01_16h15.23.649.csv,0.5036125,0.5,0.4,0.6
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-12-01_16h15.51.955.csv,0.6208625,0.625,0.525,0.725
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-12-01_17h32.04.772.csv,0.767575,0.775,0.675,0.85
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-12-03_16h10.01.36.csv,0.5009125,0.5,0.4,0.6
